iter	RMSE
0	144897.1563
1	143050.6079
2	141237.763
3	139648.0818
4	138800.3533
5	137596.8692
6	136057.5471
7	134405.0067
8	133111.5751
9	132270.0555
10	131317.9027
11	130504.8117
12	128886.2498
13	127849.9749
14	126774.5216
15	125733.0239
16	124829.0945
17	123655.5356
18	122581.36
19	121178.9838
20	120044.5335
21	119061.9049
22	117460.3333
23	116195.2917
24	115342.1429
25	113924.0567
26	113073.4309
27	112375.8698
28	111264.4624
29	110149.7305
30	109779.1707
31	108581.4902
32	108268.5698
33	107530.8673
34	106988.2292
35	106951.7411
36	106110.7019
37	105288.4154
38	105022.6576
39	104043.9228
40	103046.6689
41	102237.2439
42	101594.8178
43	100202.1657
44	99642.1886
45	98934.43702
46	98397.81781
47	97492.54399
48	96852.90635
49	96286.25679
50	95338.89915
51	94409.79135
52	93584.80864
53	92714.29083
54	91536.50858
55	90607.16246
56	89976.74632
57	89479.36022
58	88754.98224
59	88151.95029
60	87450.95264
61	86756.87953
62	85856.1454
63	85487.91696
64	84612.41932
65	83710.99175
66	83007.21679
67	82412.03162
68	81660.70766
69	80789.63802
70	80125.68936
71	79262.67904
72	78478.35283
73	77962.21604
74	77311.90897
75	76770.97624
76	75974.10257
77	75044.92199
78	74252.91061
79	73474.18509
80	72658.39976
81	72018.34811
82	71314.51211
83	71206.2463
84	70593.34253
85	69753.65329
86	69554.83904
87	68769.07572
88	68291.1839
89	67725.34635
90	67230.47661
91	66366.25328
92	65689.15099
93	64950.11112
94	64777.45453
95	64269.53751
96	63803.82986
97	63363.16052
98	62990.09174
99	62418.9725
100	61979.36769
101	61312.93746
102	60511.60437
103	59699.63479
104	59050.17744
105	58351.02547
106	57406.12528
107	56575.08429
108	56212.43065
109	55430.45008
110	54856.48897
111	54161.22841
112	53643.50355
113	53177.05378
114	52546.02867
115	52269.70898
116	51736.85146
117	51193.50642
118	50435.88145
119	49960.1127
120	49422.62831
121	48951.91191
122	48478.18006
123	47931.40416
124	47171.31069
125	46652.48058
126	46418.61586
127	46119.12548
128	45737.25327
129	45323.61217
130	45118.57055
131	44657.42202
132	44332.15199
133	43738.33911
134	43322.04148
135	42748.44544
136	42155.50528
137	41576.20594
138	41079.17989
139	40565.1239
140	40143.49684
141	39735.67636
