iter	Passed	Remaining
0	105	210072
1	141	141555
2	173	115397
3	205	102473
4	245	97885
5	276	91730
6	306	87155
7	352	87695
8	398	88247
9	425	84637
10	458	82936
11	495	82008
12	532	81445
13	570	80939
14	601	79603
15	634	78671
16	670	78237
17	703	77413
18	735	76677
19	768	76054
20	799	75353
21	826	74297
22	862	74171
23	897	73867
24	930	73518
25	962	73105
26	994	72687
27	1026	72324
28	1060	72092
29	1090	71640
30	1111	70593
31	1140	70170
32	1151	68663
33	1183	68414
34	1225	68818
35	1245	67946
36	1277	67751
37	1309	67607
38	1327	66753
39	1355	66422
40	1387	66300
41	1419	66166
42	1452	66111
43	1489	66207
44	1522	66138
45	1555	66082
46	1589	66056
47	1622	65993
48	1654	65882
49	1688	65839
50	1724	65888
51	1759	65926
52	1792	65857
53	1822	65672
54	1858	65734
55	1892	65690
56	1923	65555
57	1952	65380
58	1982	65224
59	2015	65169
60	2048	65115
61	2080	65021
62	2109	64868
63	2140	64759
64	2171	64640
65	2212	64832
66	2254	65034
67	2289	65054
68	2347	65695
69	2383	65724
70	2423	65834
71	2456	65773
72	2488	65692
73	2522	65651
74	2556	65617
75	2595	65717
76	2638	65902
77	2673	65872
78	2707	65842
79	2742	65815
80	2775	65763
81	2809	65711
82	2842	65658
83	2854	65121
84	2888	65070
85	2922	65043
86	2957	65027
87	2992	65013
88	3026	64980
89	3060	64944
90	3092	64876
91	3127	64862
92	3162	64842
93	3198	64850
94	3220	64585
95	3256	64588
96	3291	64566
97	3325	64550
98	3358	64481
99	3392	64452
100	3421	64335
101	3450	64203
102	3482	64130
103	3515	64083
104	3546	64011
105	3576	63902
106	3608	63831
107	3642	63803
108	3675	63761
109	3706	63687
110	3741	63674
111	3772	63592
112	3805	63547
113	3837	63486
114	3869	63426
115	3901	63368
116	3934	63318
117	3964	63234
118	3992	63105
119	4023	63035
120	4057	63004
121	4105	63190
122	4138	63153
123	4172	63132
124	4212	63186
125	4247	63169
126	4278	63101
127	4310	63040
128	4342	62977
129	4376	62948
130	4409	62911
131	4442	62874
132	4478	62867
133	4511	62829
134	4545	62790
135	4603	63093
136	4639	63089
137	4671	63034
138	4706	63016
139	4743	63018
140	4776	62980
141	4809	62934
