source_file,project,sales_revenue,upholstery_revenue,total_income,cogs_direct,powder_coating,finish_dept_supplies,freight_delivery_cos,metal_dept_supplies,wood_dept_supplies,upholstery_cost,job_materials,supplies_materials_cogs,total_cogs,gross_profit,gross_margin_pct,hourly_costs,freight_delivery,shipping_delivery,car_truck_fuel,event_expenses,total_expenses,net_operating_income,net_income,net_margin_pct,labor_pct_of_revenue,materials_pct_of_revenue,quote_price,material_cost,labor_cost,delivery_cost,has_metal_work,has_wood_work,has_finishing,has_powder_coating,has_upholstery,num_work_types,labor_ratio,material_ratio,avg_dept_cost,data_source,job_id,customer_name,estimated_labor_hours,wood_species,finishing_complexity,estimated_machine_hours,length_in,width_in,height_in,quantity,delivery_miles,installation_required,hardware_cost,material_grade,waste_factor_pct,finish_material_cost,overhead_allocation,job_complexity_score,risk_adjustment_pct,estimator_notes,volume_cubic_in,surface_area_sq_in,total_volume,labor_per_dollar,high_complexity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,341896.0,,,,,,,,,,,,,synthetic,55.0,Customer_55,6.0,Maple,5.0,10.0,116.0,43.0,61.0,19.0,18.0,0.0,4.0,Premium,17.0,91.0,269.0,5.0,5.0,tight space,304268.0,29374.0,5781092.0,1.7549196246811896e-05,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,277032.0,,,,,,,,,,,,,synthetic,53.0,Customer_53,27.0,MDF,1.0,6.0,74.0,28.0,16.0,4.0,9.0,1.0,272.0,Economy,19.0,471.0,168.0,2.0,5.0,upscale client,33152.0,7408.0,132608.0,9.74616650784025e-05,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,451769.0,,,,,,,,,,,,,synthetic,12.0,Customer_12,23.0,Oak,1.0,10.0,115.0,36.0,73.0,1.0,0.0,0.0,282.0,Economy,19.0,460.0,332.0,3.0,6.0,large order,302220.0,30326.0,302220.0,5.0910974413915074e-05,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,456308.0,,,,,,,,,,,,,synthetic,6.0,Customer_6,24.0,MDF,5.0,1.0,76.0,35.0,37.0,13.0,40.0,0.0,14.0,Standard,12.0,64.0,444.0,1.0,7.0,upscale client,98420.0,13534.0,1279460.0,5.259605354278251e-05,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,340353.0,,,,,,,,,,,,,synthetic,51.0,Customer_51,29.0,Oak,4.0,9.0,57.0,14.0,61.0,12.0,0.0,1.0,221.0,Standard,16.0,111.0,354.0,5.0,4.0,upscale client,48678.0,10258.0,584136.0,8.5205654129683e-05,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,309487.0,,,,,,,,,,,,,synthetic,17.0,Customer_17,23.0,Maple,1.0,6.0,75.0,44.0,51.0,7.0,17.0,1.0,266.0,Economy,17.0,150.0,397.0,3.0,6.0,tight space,168300.0,18738.0,1178100.0,7.431653025813685e-05,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,196882.0,,,,,,,,,,,,,synthetic,74.0,Customer_74,15.0,Maple,4.0,9.0,36.0,29.0,71.0,11.0,11.0,0.0,132.0,Standard,4.0,327.0,226.0,2.0,0.0,standard job,74124.0,11318.0,815364.0,7.618776729208358e-05,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,51974.0,,,,,,,,,,,,,synthetic,92.0,Customer_92,4.0,MDF,2.0,8.0,84.0,36.0,50.0,3.0,2.0,1.0,228.0,Premium,11.0,171.0,201.0,2.0,11.0,tight space,151200.0,18048.0,453600.0,7.696155770192789e-05,0.0
B10^MUnion^J^MLLC_Project^MProfitability^Mfor^MPixel^MDesigns^MAlexan^MCrafts.txt,Pixel Design's Alexan Crafts,45900.0,0.0,45900.0,11037.48,477.72,0.0,0.0,0.0,919.55,0.0,0.0,0.0,12434.75,33465.25,72.90904139433552,18934.16,0.0,200.0,113.86,27.67,19275.69,14189.56,14189.56,30.914074074074072,41.25089324618737,27.09095860566449,45900.0,12434.75,18934.16,200.0,0.0,1.0,0.0,1.0,0.0,2.0,0.41250893246187365,0.2709095860566449,6217.375,profitability,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,249210.0,,,,,,,,,,,,,synthetic,25.0,Customer_25,5.0,Oak,5.0,9.0,40.0,44.0,20.0,11.0,47.0,1.0,169.0,Standard,2.0,305.0,112.0,4.0,9.0,upscale client,35200.0,6880.0,387200.0,2.0063400345090488e-05,1.0
