job_id,customer_name,estimated_labor_hours,wood_species,finishing_complexity,estimated_machine_hours,length_in,width_in,height_in,quantity,delivery_miles,installation_required,hardware_cost,material_grade,waste_factor_pct,finish_material_cost,overhead_allocation,job_complexity_score,risk_adjustment_pct,estimator_notes,quote_price
1,Customer_1,32,Maple,5,10,95,32,94,11,10,No,99,Economy,7,151,230,5,1,standard job,322379
2,Customer_2,33,Oak,5,5,25,32,44,12,21,Yes,235,Economy,16,474,158,2,15,fragile,131023
3,Customer_3,19,Pine,1,2,78,14,62,7,20,No,166,Economy,17,387,188,4,13,large order,205541
4,Customer_4,12,Oak,4,9,76,13,95,15,6,Yes,263,Premium,14,34,305,1,3,standard job,460837
5,Customer_5,7,Pine,4,1,29,15,65,18,25,No,161,Premium,9,445,369,4,8,tight space,483505
6,Customer_6,24,MDF,5,1,76,35,37,13,40,No,14,Standard,12,64,444,1,7,upscale client,456308
7,Customer_7,11,Pine,3,7,86,22,92,8,34,Yes,288,Standard,4,489,330,2,8,fragile,183823
8,Customer_8,10,Oak,5,8,95,23,45,1,47,Yes,98,Economy,11,359,313,3,2,tight space,202164
9,Customer_9,38,Maple,2,4,70,25,14,1,4,No,254,Economy,13,358,382,1,14,upscale client,218626
10,Customer_10,29,MDF,5,9,100,43,63,4,29,Yes,230,Premium,12,142,270,5,3,upscale client,449536
11,Customer_11,35,Oak,5,6,82,33,39,2,41,No,61,Standard,20,133,383,4,11,tight space,200735
12,Customer_12,23,Oak,1,10,115,36,73,1,0,No,282,Economy,19,460,332,3,6,large order,451769
13,Customer_13,11,Oak,3,10,32,48,62,10,43,Yes,159,Premium,8,179,212,1,9,large order,193575
14,Customer_14,15,MDF,2,6,25,14,67,17,48,Yes,129,Economy,4,223,324,1,2,standard job,178289
15,Customer_15,5,Maple,4,4,67,37,43,6,31,No,202,Standard,16,254,393,5,3,large order,106581
16,Customer_16,9,Pine,5,5,34,27,84,6,15,No,258,Standard,19,251,445,3,14,standard job,238214
17,Customer_17,23,Maple,1,6,75,44,51,7,17,Yes,266,Economy,17,150,397,3,6,tight space,309487
18,Customer_18,19,Oak,5,9,83,13,12,16,11,Yes,36,Economy,8,232,198,3,15,fragile,445123
19,Customer_19,6,Oak,1,3,47,44,35,20,10,No,103,Premium,19,253,326,1,2,tight space,133772
20,Customer_20,32,MDF,5,1,105,13,65,3,15,Yes,168,Economy,3,160,167,1,13,tight space,354056
21,Customer_21,23,Pine,4,7,31,18,78,17,32,Yes,21,Economy,13,157,137,5,2,tight space,338857
22,Customer_22,11,Pine,1,10,50,45,32,1,27,No,146,Economy,3,34,291,1,15,large order,467460
23,Customer_23,31,Pine,5,4,29,46,48,17,45,Yes,94,Economy,2,187,215,5,4,large order,494995
